Time,Susceptible,Exposed,Infected,Recovered
5.275,2,10,12,76
5.28,2,10,12,76
5.285,2,10,12,76
5.29,2,10,12,76
5.295,2,10,11,77
5.3,2,10,11,77
5.305,2,10,11,77
5.31,2,10,11,77
5.315,2,10,11,77
5.32,2,10,11,77
5.325,2,10,11,77
5.33,2,10,11,77
5.335,2,10,11,77
5.34,2,10,11,77
5.345,2,10,11,77
5.35,2,10,10,78
5.355,2,10,10,78
5.36,2,10,10,78
5.365,1,11,10,78
5.37,1,11,10,78
5.375,1,11,10,78
5.38,1,11,10,78
5.385,1,11,10,78
5.39,1,11,10,78
5.395,1,11,10,78
5.4,1,11,10,78
5.405,1,11,10,78
5.41,1,11,9,79
5.415,1,11,9,79
5.42,1,11,9,79
5.425,1,11,9,79
5.43,1,11,8,80
5.435,1,11,8,80
5.44,1,11,8,80
5.445,1,11,8,80
5.45,1,11,8,80
5.455,1,11,8,80
5.46,1,11,8,80
5.465,1,11,8,80
5.47,1,11,8,80
5.475,1,11,8,80
5.48,1,11,8,80
5.485,1,11,8,80
5.49,1,11,8,80
5.495,1,11,8,80
5.5,1,11,8,80
5.505,1,11,8,80
5.51,1,11,8,80
5.515,1,11,8,80
5.52,1,11,8,80
5.525,1,10,9,80
5.53,1,10,9,80
5.535,1,10,9,80
5.54,1,10,9,80
5.545,1,10,9,80
5.55,1,10,9,80
5.555,1,10,9,80
5.56,1,10,9,80
5.565,1,10,9,80
5.57,1,10,9,80
5.575,1,10,9,80
5.58,1,10,9,80
5.585,1,10,9,80
5.59,1,10,9,80
5.595,1,10,9,80
5.6,1,10,9,80
5.605,1,10,8,81
5.61,1,10,8,81
5.615,1,10,8,81
5.62,1,10,8,81
5.625,1,10,8,81
5.63,1,10,8,81
5.635,1,10,8,81
5.64,1,10,8,81
5.645,1,10,8,81
5.65,1,10,8,81
5.655,1,10,8,81
5.66,1,10,8,81
5.665,1,10,8,81
5.67,1,10,8,81
5.675,1,10,8,81
5.68,1,10,8,81
5.685,1,10,8,81
5.69,1,10,8,81
5.695,1,10,8,81
5.7,1,10,8,81
5.705,1,10,8,81
5.71,1,10,8,81
5.715,1,10,8,81
5.72,1,10,8,81
5.725,1,9,9,81
5.73,1,9,9,81
5.735,1,9,9,81
5.74,1,9,9,81
5.745,1,9,9,81
5.75,1,9,9,81
5.755,1,9,9,81
5.76,1,9,9,81
5.765,1,9,9,81
